farmer_id,name,phone,registration_date,age,gender,county,farm_size_acres,mean_ndvi,ndvi_trend,growing_season_match,transaction_velocity,savings_rate,loan_repayment_history,cooperative_endorsement,chama_participation,neighbor_vouches,fertilizer_purchase_timing,seed_quality_tier,advisory_usage,drought_exposure_index,rainfall_deviation,temperature_anomaly,credit_score,farmer_type
FM0000,David Mwangi,0710959014,2024-12-31,28,F,Meru,2.2,0.704,0.129,0.853,48,0.556,1.0,4,1,4,0.957,2,1,0.109,17.59,2.09,100.0,excellent
FM0001,Samuel Kiprotich,0789966606,2025-07-28,49,F,Nakuru,4.64,0.862,-0.021,0.646,40,0.176,1.0,3,1,3,0.788,2,1,0.207,18.41,3.11,100.0,average
FM0002,James Kamau,0797636744,2025-03-08,39,M,Kiambu,4.35,0.404,-0.117,0.559,16,0.136,0.5,2,0,0,0.236,1,0,0.03,9.73,2.69,60.3,struggling
FM0003,John Mwangi,0739449976,2024-12-22,37,F,Meru,5.69,0.41,-0.068,0.423,18,0.192,0.5,2,0,2,0.468,1,0,0.25,5.72,1.76,53.1,struggling
FM0004,John Maina,0794015781,2024-12-25,29,F,Uasin Gishu,5.31,0.683,0.027,0.776,33,0.451,0.5,4,1,0,0.584,2,0,0.347,-21.69,3.21,100.0,average
FM0005,Samuel Njeri,0746510960,2025-09-29,25,M,Kiambu,1.05,0.551,-0.015,0.366,17,0.077,0.0,2,0,1,0.263,1,0,0.337,3.96,0.56,41.6,struggling
FM0006,Peter Achieng,0765293686,2025-09-09,54,F,Uasin Gishu,6.71,0.802,0.095,0.813,46,0.258,1.0,3,0,3,0.505,2,0,0.484,-17.35,0.06,97.3,average
FM0007,Peter Wambui,0733999533,2024-01-14,56,F,Uasin Gishu,1.17,0.479,0.104,0.658,35,0.27,1.0,4,0,3,0.592,1,0,0.118,-12.68,3.14,91.8,average
FM0008,Grace Wanjiku,0743381573,2025-08-08,61,M,Nakuru,1.87,0.655,0.103,0.894,62,0.237,1.0,5,1,5,0.807,3,1,0.021,-1.43,0.88,100.0,excellent
FM0009,David Achieng,0748487260,2025-01-27,27,M,Bungoma,9.15,0.78,-0.093,0.635,39,0.277,0.5,3,1,1,0.775,2,0,0.118,10.78,4.7,94.2,average
FM0010,John Mwangi,0761704882,2024-07-31,61,F,Kiambu,4.96,0.65,-0.038,0.644,41,0.589,1.0,3,0,4,0.783,2,1,0.267,5.31,2.62,100.0,average
FM0011,James Wambui,0762976036,2024-09-27,37,F,Uasin Gishu,2.01,0.475,-0.1,0.396,20,0.064,0.5,2,0,1,0.285,1,0,0.405,-17.1,-1.18,46.5,struggling
FM0012,Mary Maina,0777273675,2025-09-22,34,F,Kiambu,3.47,0.435,-0.015,0.603,44,0.338,1.0,3,0,3,0.737,1,0,0.158,-6.77,2.96,85.8,average
FM0013,James Mwangi,0789630668,2024-10-18,49,F,Bungoma,3.97,0.875,0.016,0.816,43,0.248,1.0,3,1,1,0.63,1,0,0.259,9.72,2.47,100.0,average
FM0014,Peter Kiprotich,0713021573,2024-02-15,29,F,Bungoma,5.81,0.773,-0.067,0.774,33,0.318,0.5,4,0,1,0.608,1,0,0.273,-9.93,0.53,88.6,average
FM0015,Peter Mwangi,0795927380,2025-07-15,33,M,Nakuru,3.66,0.486,-0.026,0.846,33,0.467,0.5,3,0,0,0.708,2,1,0.217,3.08,2.89,81.3,average
FM0016,Grace Mwangi,0760084389,2024-06-07,48,F,Kiambu,3.96,0.82,-0.014,0.73,40,0.226,1.0,3,0,3,0.541,1,0,0.0,14.44,2.83,92.0,average
FM0017,Sarah Kiprotich,0775012933,2024-05-06,29,M,Kiambu,2.13,0.719,0.09,0.919,51,0.494,1.0,4,1,3,0.979,3,1,0.051,5.04,0.7,100.0,excellent
FM0018,Mary Wanjiku,0744653349,2025-09-16,49,F,Nakuru,4.09,0.476,0.106,0.818,45,0.454,0.5,3,1,2,0.724,1,0,0.258,-1.89,6.12,95.2,average
FM0019,Lucy Maina,0776165878,2025-01-31,55,M,Kiambu,4.54,0.325,0.081,0.725,25,0.424,0.5,3,1,3,0.571,1,0,0.085,-4.87,0.61,76.0,average
FM0020,Peter Mwangi,0772017911,2025-09-21,29,M,Meru,2.05,0.207,-0.056,0.516,15,0.08,0.0,2,0,0,0.412,1,0,0.279,-6.61,2.65,36.2,struggling
FM0021,Samuel Kiprotich,0774926168,2024-08-25,64,M,Bungoma,5.17,0.256,-0.098,0.332,14,0.196,0.5,2,0,1,0.448,1,0,0.043,-1.81,2.61,52.1,struggling
FM0022,John Achieng,0737612325,2025-04-25,60,M,Bungoma,3.47,0.885,0.011,0.696,36,0.165,1.0,3,1,4,0.594,1,1,0.107,0.22,2.22,100.0,average
FM0023,Peter Kiprotich,0745084109,2024-12-09,46,F,Bungoma,2.55,0.718,0.17,0.75,32,0.127,0.5,3,0,2,0.776,2,0,0.22,11.72,0.56,75.3,average
FM0024,Sarah Wanjiku,0756240283,2024-06-19,31,F,Nakuru,20.52,0.493,0.076,0.858,51,0.846,1.0,4,1,4,0.835,3,1,0.28,-6.57,3.12,100.0,excellent
FM0025,Mary Njeri,0783750880,2025-07-06,52,F,Meru,2.7,0.67,-0.079,0.707,41,0.611,1.0,3,1,3,0.73,1,0,0.311,-9.84,2.27,100.0,average
FM0026,David Njeri,0740473321,2024-09-10,27,M,Kiambu,6.08,0.75,-0.0,0.763,30,0.483,1.0,4,0,2,0.526,1,0,0.183,-12.51,2.89,100.0,average
FM0027,James Kiprotich,0747226729,2024-10-24,45,M,Kiambu,6.88,0.389,0.008,0.706,36,0.239,1.0,3,0,0,0.774,1,0,0.191,-17.03,3.04,83.8,average
FM0028,Mary Mwangi,0789817241,2024-07-08,33,M,Nakuru,3.23,0.853,-0.092,0.612,28,0.378,0.5,3,1,2,0.699,2,1,0.261,-20.19,1.49,89.8,average
FM0029,Peter Wambui,0792479303,2024-05-21,47,F,Uasin Gishu,9.83,0.704,-0.038,0.798,38,0.273,1.0,4,1,2,0.701,1,0,0.155,-12.79,2.04,100.0,average
FM0030,Samuel Wanjiku,0749464216,2024-10-07,44,F,Kiambu,2.37,0.474,0.229,0.733,34,0.422,1.0,3,1,4,0.556,2,1,0.148,-5.55,-0.91,98.7,average
FM0031,David Achieng,0701514542,2023-11-12,33,F,Nakuru,10.34,0.658,0.029,0.77,40,0.43,1.0,3,1,3,0.654,1,0,0.138,-10.55,0.54,100.0,average
FM0032,David Wambui,0705809041,2024-07-04,61,M,Kiambu,2.19,0.358,-0.106,0.478,16,0.083,0.5,2,0,1,0.365,1,0,0.132,-7.98,-0.57,47.1,struggling
